2,1,100,1,100,1,100
3,1.67,95.1,2,79.25,1.67,95.1
4,2,100,2,100,2,100
5,2.4,96.75,3,77.4,2.4,96.75
6,2.67,96.94,3,86.17,2.67,96.94
7,2.86,98.26,3,93.58,2.86,98.26
8,3,100,3,100,3,100
9,3.22,98.38,4,79.25,3.22,98.38
10,3.4,97.7,4,83.05,3.4,97.7
11,3.55,97.57,4,86.49,3.55,97.57
12,3.67,97.77,4,89.62,3.67,97.77
13,3.77,98.17,4,92.51,3.77,98.17
14,3.86,98.71,4,95.18,3.86,98.71
15,3.93,99.33,4,97.67,3.93,99.33
16,4,100,4,100,4,100
17,4.12,99.27,5,81.75,4.12,99.27
18,4.22,98.76,5,83.4,4.22,98.76
19,4.32,98.43,5,84.96,4.32,98.43
20,4.4,98.23,5,86.44,4.4,98.23
21,4.48,98.13,5,87.85,4.48,98.13
22,4.55,98.11,5,89.19,4.55,98.11
23,4.61,98.15,5,90.47,4.61,98.15
24,4.67,98.25,5,91.7,4.67,98.25
25,4.72,98.39,5,92.88,4.72,98.39
26,4.77,98.56,5,94.01,4.77,98.56
27,4.81,98.76,5,95.1,4.81,98.76
28,4.86,98.97,5,96.15,4.86,98.97
29,4.9,99.21,5,97.16,4.9,99.21
30,4.93,99.46,5,98.14,4.93,99.46
31,4.97,99.73,5,99.08,4.97,99.73
32,5,100,5,100,5,100
33,5.06,99.68,6,84.07,5.06,99.68
34,5.12,99.41,6,84.79,5.12,99.41
35,5.17,99.19,6,85.49,5.17,99.19
36,5.22,99,6,86.17,5.22,99
37,5.27,98.85,6,86.82,5.27,98.85
38,5.32,98.72,6,87.47,5.32,98.72
39,5.36,98.63,6,88.09,5.36,98.63
40,5.4,98.55,6,88.7,5.4,98.55
41,5.44,98.5,6,89.29,5.44,98.5
42,5.48,98.47,6,89.87,5.48,98.47
43,5.51,98.45,6,90.44,5.51,98.45
44,5.55,98.45,6,90.99,5.55,98.45
45,5.58,98.46,6,91.53,5.58,98.46
46,5.61,98.48,6,92.06,5.61,98.48
47,5.64,98.52,6,92.58,5.64,98.52
48,5.67,98.56,6,93.08,5.67,98.56
49,5.69,98.61,6,93.58,5.69,98.61
50,5.72,98.67,6,94.06,5.72,98.67
51,5.75,98.74,6,94.54,5.75,98.74
52,5.77,98.81,6,95.01,5.77,98.81
53,5.79,98.89,6,95.47,5.79,98.89
54,5.81,98.97,6,95.91,5.81,98.97
55,5.84,99.06,6,96.36,5.84,99.06
56,5.86,99.15,6,96.79,5.86,99.15
57,5.88,99.25,6,97.21,5.88,99.25
58,5.9,99.35,6,97.63,5.9,99.35
59,5.92,99.45,6,98.04,5.92,99.45
60,5.93,99.55,6,98.45,5.93,99.55
61,5.95,99.66,6,98.85,5.95,99.66
62,5.97,99.77,6,99.24,5.97,99.77
63,5.98,99.89,6,99.62,5.98,99.89
64,6,100,6,100,6,100
65,6.03,99.86,7,86.03,6.03,99.86
66,6.06,99.73,7,86.35,6.06,99.73
67,6.09,99.61,7,86.66,6.09,99.61
68,6.12,99.51,7,86.96,6.12,99.51
69,6.14,99.41,7,87.26,6.14,99.41
70,6.17,99.32,7,87.56,6.17,99.32
71,6.2,99.23,7,87.85,6.2,99.23
72,6.22,99.16,7,88.14,6.22,99.16
73,6.25,99.09,7,88.43,6.25,99.09
74,6.27,99.03,7,88.71,6.27,99.03
75,6.29,98.97,7,88.98,6.29,98.97
76,6.32,98.93,7,89.26,6.32,98.93
77,6.34,98.88,7,89.53,6.34,98.88
78,6.36,98.84,7,89.79,6.36,98.84
79,6.38,98.81,7,90.05,6.38,98.81
80,6.4,98.78,7,90.31,6.4,98.78
81,6.42,98.76,7,90.57,6.42,98.76
82,6.44,98.73,7,90.82,6.44,98.73
83,6.46,98.72,7,91.07,6.46,98.72
84,6.48,98.7,7,91.32,6.48,98.7
85,6.49,98.7,7,91.56,6.49,98.7
86,6.51,98.69,7,91.8,6.51,98.69
87,6.53,98.69,7,92.04,6.53,98.69
88,6.55,98.69,7,92.28,6.55,98.69
89,6.56,98.69,7,92.51,6.56,98.69
90,6.58,98.69,7,92.74,6.58,98.69
91,6.59,98.7,7,92.97,6.59,98.7
92,6.61,98.71,7,93.19,6.61,98.71
93,6.62,98.72,7,93.42,6.62,98.72
94,6.64,98.74,7,93.64,6.64,98.74
95,6.65,98.76,7,93.86,6.65,98.76
96,6.67,98.77,7,94.07,6.67,98.77
97,6.68,98.79,7,94.28,6.68,98.79
98,6.69,98.82,7,94.5,6.69,98.82
99,6.71,98.84,7,94.71,6.71,98.84
100,6.72,98.87,7,94.91,6.72,98.87
